session_id,scenario_name,student_role,ai_model,first_mover,config,total_rounds,outcome,major,gender,negotiation_experience,created_at,updated_at
b9ada2c5-b1b5-4282-8cf9-31b2a07993ad,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,MBA,Male,A few instances,2025-12-17 02:40,2025-12-17 03:13
62d1e4fa-941a-4cf6-9be7-54e76606b599,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Management Science,Female,A few instances,2025-12-17 01:01,2025-12-17 02:24
3441b586-fb12-4718-8c00-0e4c81502111,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,,,,2025-12-16 23:17,2025-12-16 23:40
5e205a76-c223-4239-b9d3-a98d769ea3c4,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 active,Global business and society,Male,None,2025-12-16 23:16,2025-12-16 23:16
5750dafe-848c-4f21-a9ab-12aef3e8fbce,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,MBA,Male,A few instances,2025-12-16 23:07,2025-12-16 23:10
342b2a02-3e37-4e74-815f-d8902ef65529,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 failed,Global business and society,Male,None,2025-12-16 22:25,2025-12-16 23:13
511d7f28-cffd-4699-afb4-4415824929d8,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,MBA,Female,Occasional,2025-12-16 21:58,2025-12-16 22:48
8974a678-953d-4673-b6d3-9318b159d9b6,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,⏹️ No Deal,MBA,Male,A few instances,2025-12-16 21:55,2025-12-16 22:46
d81a04a6-19d0-4813-bcd6-b0117c718978,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,Global Business and Society,Female,A few instances,2025-12-16 21:38,2025-12-17 01:03
a8937e7d-b73b-4d21-8cac-0e401756fd19,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,MBA,Female,Occasional,2025-12-16 21:14,2025-12-16 23:09
35ba2190-3bcf-47fd-b60e-148db85016ee,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 failed,GBS,Female,None,2025-12-16 20:22,2025-12-16 21:44
02e4f7ab-f50c-456c-bba1-a1eea9341b4a,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Management Science,Male,Occasional,2025-12-16 20:09,2025-12-16 20:58
bcb5eec3-732a-42c2-9544-566c82eacd40,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 20:06,2025-12-16 20:08
ece8ce8f-3510-4200-9cc6-cbf85fcda2ec,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Management Science,Male,Occasional,2025-12-16 20:05,2025-12-16 20:06
0337dfc4-e949-4ac2-8a66-01d7f39c0873,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 19:45,2025-12-16 20:03
6772b4eb-ef25-46d7-8bd1-7a2d20ca1d73,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,GBS,Male,None,2025-12-16 19:32,2025-12-16 19:34
80bb5fa0-cdc0-4048-acd0-f7f728597856,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,GBS,Male,None,2025-12-16 19:29,2025-12-16 19:32
5906fb96-b0be-4714-8d33-0bcc73a5f3f7,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,GBS,Male,None,2025-12-16 19:26,2025-12-16 19:29
e1efe30c-8480-43b6-a423-9693ce97bf9d,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,entrepreneurship,Male,Occasional,2025-12-16 19:11,2025-12-16 20:09
48bef1c4-53fc-4085-ba38-268a700e4f3c,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 18:52,2025-12-16 18:52
1b02c0a3-7d95-46e9-97a9-1066271014b3,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Management Science,Male,Occasional,2025-12-16 17:29,2025-12-16 19:46
51d34fc5-1c2a-412f-8b50-17356f8b0785,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,MBA,Male,Frequent,2025-12-16 17:09,2025-12-16 18:30
294cb28c-3a7f-4277-9f5d-bb8aa43f3110,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,Global Business and Society,Male,Occasional,2025-12-16 16:58,2025-12-16 17:49
588afea5-e2be-4815-b92d-fdf35b948f8b,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 active,Global Business and Society,Male,Occasional,2025-12-16 16:38,2025-12-16 16:52
4aef70e4-0796-4391-af99-e823b4e86b54,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,MBA,,,2025-12-16 15:39,2025-12-16 16:21
213057ba-b33a-47c8-af40-fa51f70e9c35,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 10:02,2025-12-16 10:13
a0a6b1c9-a6d8-496a-b8e6-1e6356837c68,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 09:58,2025-12-16 10:00
abe023a7-334b-4889-97d9-b003f71ae6ab,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 09:35,2025-12-16 09:37
55424b03-69c5-4b7c-8e21-1f9568bc9c1d,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 09:08,2025-12-16 10:00
7b76b602-eb3c-42b6-b3a3-90ce13609442,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 08:16,2025-12-16 08:17
1a1e1656-3aba-404f-8320-298cf8937e0f,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 08:06,2025-12-16 08:07
a6c1af70-9388-4127-95b6-36cd193a7fb0,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,Healthcare Management,Female,A few instances,2025-12-16 08:00,2025-12-16 09:15
c595f4c1-f731-49e9-bf61-02d98733d714,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 06:52,2025-12-16 07:06
9bb77d3c-8186-46fa-babc-3e345d917b95,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 06:19,2025-12-16 06:37
